INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES);SECTOR IES;CARACTER IES;MUNICIPIO DE DOMICILIO DE LA IES;PROGRAMA ACADÉMICO;ÁREA DE CONOCIMIENTO;SEXO;AÑO;SEMESTRE;MATRICULADOS 
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;85
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;9
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;14
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TÉCNICO PROFESIONAL EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;320
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TÉCNICO PROFESIONAL EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;293
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TÉCNICO PROFESIONAL EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;32
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TÉCNICO PROFESIONAL EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;29
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;CIENCIAS DE LA SALUD;HOMBRE;2019;1;58
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;CIENCIAS DE LA SALUD;HOMBRE;2019;2;59
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;CIENCIAS DE LA SALUD;MUJER;2019;1;121
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;CIENCIAS DE LA SALUD;MUJER;2019;2;129
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;302
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;302
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;84
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;78
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA EN PROCESOS SOSTENIBLES DE LAS MADERAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;54
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA EN PROCESOS SOSTENIBLES DE LAS MADERAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;66
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA EN PROCESOS SOSTENIBLES DE LAS MADERAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;38
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA EN PROCESOS SOSTENIBLES DE LAS MADERAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;44
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA EN PROCESOS AGROINDUSTRIALES;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;76
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA EN PROCESOS AGROINDUSTRIALES;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;91
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA EN PROCESOS AGROINDUSTRIALES;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;110
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA EN PROCESOS AGROINDUSTRIALES;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;123
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA DE MANUFACTURA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;50
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA DE MANUFACTURA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;89
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA DE MANUFACTURA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;19
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA DE MANUFACTURA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;34
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TÉCNOLOGIA EN DESARROLLO DE SOFTWARE;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;29
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TÉCNOLOGIA EN DESARROLLO DE SOFTWARE;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;21
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TÉCNOLOGIA EN DESARROLLO DE SOFTWARE;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TÉCNOLOGIA EN DESARROLLO DE SOFTWARE;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN PRODUCCIÓN FORESTAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;18
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN PRODUCCIÓN FORESTAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;15
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN PRODUCCIÓN FORESTAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;17
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN PRODUCCIÓN FORESTAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;11
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA COMERCIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;84
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA COMERCIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;87
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA COMERCIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;106
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA COMERCIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;2;93
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;ENFERMERIA;CIENCIAS DE LA SALUD;HOMBRE;2019;1;45
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;ENFERMERIA;CIENCIAS DE LA SALUD;HOMBRE;2019;2;44
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;ENFERMERIA;CIENCIAS DE LA SALUD;MUJER;2019;1;320
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;ENFERMERIA;CIENCIAS DE LA SALUD;MUJER;2019;2;305
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA FINANCIERA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;1;47
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA FINANCIERA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;HOMBRE;2019;2;54
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA FINANCIERA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;MUJER;2019;1;70
