INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES);SECTOR IES;CARACTER IES;MUNICIPIO DE DOMICILIO DE LA IES;PROGRAMA ACADÉMICO;ÁREA DE CONOCIMIENTO;METODOLOGIA;SEXO;AÑO;SEMESTRE;MATRICULADOS 
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;TECNOLOGIA EN DESARROLLO DE SOFTWARE;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;1
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;ENFERMERIA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;2;100
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;INSTRUMENTACION QUIRURGICA;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;2;1
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;INSTRUMENTACION QUIRURGICA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;2;11
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;TECNOLOGIA EN RADIOLOGIA E IMAGENES DIAGNOSTICAS;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;2;22
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;TECNOLOGIA EN RADIOLOGIA E IMAGENES DIAGNOSTICAS;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;1;8
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;INSTRUMENTACION QUIRURGICA;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;1;10
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;83
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA FISICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;6
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;2;6
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;MEDICINA;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;1;30
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;SANTA ROSA DE CABAL;BIOLOGIA;MATEMÁTICAS Y CIENCIAS NATURALES;PRESENCIAL;HOMBRE;2019;2;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TÉCNICO PROFESIONAL EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;35
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA QUIMICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;11
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;27
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;2;15
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA MECANICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;4
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;QUIMICA INDUSTRIAL;MATEMÁTICAS Y CIENCIAS NATURALES;PRESENCIAL;MUJER;2019;1;22
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;1;19
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA DE SISTEMAS Y COMPUTACION;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;18
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;MEDICINA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;1;25
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA MECANICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;11
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA CIVIL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;18
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA DE SISTEMAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA DE SISTEMAS Y COMPUTACION;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;4
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;ENFERMERIA;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;2;24
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;ODONTOLOGÍA;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;2;2
